"name","shortName","street","zipCode","city","country","latitude","longitude","image","description","active","legacyId"
"Eisstadion Lankwitz","Lankwitz","Leonorenstraße 37","12247","Berlin","Germany","52.442280","13.341508",,,"True","1"
"Friedrichsfelde","Friedrichsfelde","Zachertstraße 30-50","10315","Berlin","Germany","52.505329","13.506789",,,,"2"
"Mommsenstadion","Mommsen","Waldschulallee 34","14055","Berlin","Germany","52.500465","13.263435",,,,"3"
"Potsdam","Potsdam","Heinrich-Mann-Allee 106","14473","Potsdam","Germany","52.383083","13.076005",,,,"4"
"Siemensstadt","Siemensstadt","Buolstraße 14","13629","Berlin","Germany","52.545557","13.258319",,,,"5"
"Strausberg","Strausberg","Landhausstraße 16-18","15344","Strausberg","Germany","52.540722","13.837774",,,"True","6"
"Vorarlberger Damm","V-Damm","Vorarlberger Damm 29-35","12157","Berlin","Germany","52.471657","13.354204",,,,"7"
"Poststadion","Poststadion","Lehrter Straße 59","10557","Berlin","Germany","52.531315","13.361365",,,"True","8"
"Paul-Heyse-Stadion","Paul-Heyse","Paul-Heyse-Straße 25","10407","Berlin","Germany","52.532038","13.447582",,,,"9"
"Oranienburg","Oranienburg","n/a","16515","Oranienburg","Germany","0","0",,,,"10"
"FU Halle Dahlem","Dahlem","Königin-Luise-Straße 47","14195","Berlin","Germany","52.458183","13.290190",,,,"11"
"Lilli Henoch Sporthalle","Lilli Henoch","Pallasstraße 15","10781","Berlin","Germany","52.494591","13.356119",,,"True","12"
"Mehrzweckhalle Taucha","Taucha","Geschwister-Scholl-Str. 6","04425","Taucha","Germany","51.380203","12.504716",,,"True","13"
"Sporthalle Fredersdorf","Fredersdorf","Posentsche Str. 60","15370","Fredersdorf-Vogelsdorf","Germany","52.542068","13.748510",,,"True","14"
"EWE-Sporthalle Fürstenwalde","Fürstenwalde","Frankfurter Straße 67","15517","Fürstenwalde","Germany","52.360886","14.074945",,,"True","15"
"Carl-Schuhmann-Halle","Osdorfer Str.","Osdorfer Str. 53","12207","Berlin","Germany","52.411449","13.320022",,,"True","16"
"Barnim-Gymnasium","Barnim-Gymnasium","Ahrensfelder Chaussee 41","13057","Berlin ","Germany","52.571342","13.547688",,,"True","17"
"Eishalle Charlottenburg","Glockenturmstraße","Glockenturmstraße 14","14053","Berlin","Germany","52.513622","13.226956",,,"True","18"
"Sporthalle Toitenwinkel","Rostock","Bertha-von-Suttner-Ring 1a","18147","Rostock","Germany","54.112179","12.141438",,,"True","19"
"Gutenberg Oberschule","Gutenberg Oberschule","Sandinostraße 10","13055","Berlin","Germany","52.536587","13.484379",,,,"20"
"OSPA Arena Rostock","OSPA Arena","Tschaikowskistr. 45","18069","Rostock","Germany","54.089233","12.087405",,,"True","21"
"Eisarena Schwedt","Eisarena Schwedt","Handelsstraße 22","16303","Schwedt/Oder","Germany","53.068195","14.265440",,,"True","22"
"Sporthalle am PCK","PCK Schwedt","Passower Chausssee 97-98","16303","Schwedt/Oder","Germany","53.087498","14.230406",,,"True","23"
"Hockeyarena Potsdam","Potsdam","Schilfhof 29","14478","Potsdam","Germany","52.378193","13.096875",,,"True","24"
"Neubrandenburg","Neubrandenburg","Kopernikusstr. 2a","17036","Neubrandenburg","Germany","53.550571","13.293240",,,"True","25"
"Falkensee","Falkensee","Lise Meitner Gymnasium","14612","Falkensee","Germany","52.574203","13.094718",,,"True","26"
"Großsporthalle Empelde","Empelde","Am Sportpark 2","30952","Ronnenberg","Germany","52.339230","9.672787",,,"True","27"
"Sporthalle Sander Tannen","Bergedorf","Ladenbeker Weg 13","21031","Hamburg","Germany","53.494678","10.186638",,,"True","28"
"Sporthalle im Lünepark","Lüneburg","Lise-Meitner-Str. 28","21339","Lüneburg","Germany","53.258911","10.417044",,,"True","29"
